"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"STERLITIND","Sterlite Industries (India) Limited","EQ","Capital Red./Demerger","5","27-Sep-2000","-","09-Oct-2000","12-Oct-2000"
"GTL","GTL Limited","EQ","Scheme Of Demerger","10","07-Jul-2006","14-Jul-2006","-","-"
"UNITDSPR","United Spirits Limited","EQ","Sch Of Arngment-Demerger","2","17-Oct-2006","26-Oct-2006","-","-"
"MANINDS","Man Industries (India) Limited","EQ","Scheme Of Demerger","5","13-Apr-2007","20-Apr-2007","-","-"
"GABRIEL","Gabriel India Limited","EQ","Sch Of Arngmnt-Demerger  Rd Revised","1","16-Aug-2007","24-Aug-2007","-","-"
"JUBLPHARMA","Jubilant Pharmova Limited","EQ","Scheme Of Demerger","1","25-Nov-2010","26-Nov-2010","-","-"
"ZUARIIND","ZUARI INDUSTRIES LIMITED","EQ","Scheme Of Arrangement And Demerger","10","09-Apr-2012","10-Apr-2012","-","-"
"JINDALPOLY","Jindal Poly Films Limited","EQ","Scheme Of Demerger","10","17-Jul-2013","18-Jul-2013","-","-"
"POLARIS","POLARIS CONSULTING & SERVICES LIMITED","EQ","Scheme Of Arrangement Cum Demerger","5","09-Oct-2014","10-Oct-2014","-","-"
"GREENPLY","Greenply Industries Limited","EQ","Scheme Of Demerger","1","26-Nov-2014","27-Nov-2014","-","-"
"ASAHISONG","Asahi Songwon Colors Limited","EQ","Demerger","10","02-Feb-2015","03-Feb-2015","-","-"
"SFCL","Star Ferro and Cement Limited","EQ","Demerger","1","23-Apr-2015","24-Apr-2015","-","-"
"IDFC","IDFC Limited","H1"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","H9"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","H8"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","H7"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","H6"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","H5"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","H4"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","H3"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","H2"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","HE"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","HD"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","HC"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","HB"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","HA"," Demerger","5000","29-Sep-2015","-","01-Oct-2015","08-Oct-2015"
"IDFC","IDFC Limited","EQ"," Demerger","10","01-Oct-2015","05-Oct-2015","-","-"
"MOHITIND","Mohit Industries Limited","EQ"," Scheme Of Arrangement In The Nature Of Demerger","10","30-Mar-2016","31-Mar-2016","-","-"
"MANDHANA","Mandhana Industries Limited","EQ"," Scheme Of Demerger","10","22-Sep-2016","23-Sep-2016","-","-"
"AURIONPRO","Aurionpro Solutions Limited","EQ"," Scheme Of Demerger","10","14-Aug-2018","17-Aug-2018","-","-"
"COX&KINGS","Cox & Kings Limited","EQ"," Scheme Of Demerger","5","25-Oct-2018","26-Oct-2018","-","-"
"VIKASECO","Vikas EcoTech Limited","EQ"," Scheme Of Arrangement Of Demerger","1","19-Nov-2018","21-Nov-2018","-","-"
"ARVIND","Arvind Limited","EQ"," Demerger","10","28-Nov-2018","29-Nov-2018","-","-"
"HTMEDIA","HT Media Limited","EQ"," Demerger","2","09-Apr-2019","10-Apr-2019","-","-"
"PRAKASH","Prakash Industries Limited","EQ"," Demerger","10","23-Apr-2019","24-Apr-2019","-","-"
"DCM","DCM  Limited","EQ"," Demerger","10","30-May-2019","31-May-2019","-","-"
"AARTIIND","Aarti Industries Limited","EQ"," Scheme Of Demerger","5","03-Jul-2019","04-Jul-2019","-","-"
"TTML","Tata Teleservices (Maharashtra) Limited","EQ"," De-Merger","10","11-Jul-2019","12-Jul-2019","-","-"
"GREENPLY","Greenply Industries Limited","EQ"," Demerger","1","12-Jul-2019","15-Jul-2019","-","-"
