"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"CENTEXT","Century Extrusions Limited","EQ","Agm/Rights-35:12","1","17-Aug-2005","-","24-Aug-2005","26-Aug-2005"
"UNIWESTBNK","United Western Bank Limited","EQ","Bonus - 1:5/Rights - 1:2","10","17-Jan-2006","-","24-Jan-2006","25-Jan-2006"
"OCL","OCL India Limited","EQ","Agm/Div-50%/Rights-1:6","2","29-Aug-2006","-","05-Sep-2006","09-Sep-2006"
"CEMPRO","Cemindia Projects Limited","EQ","Rights 1:4 @Prem Rs.480/-","1","08-Sep-2006","15-Sep-2006","-","-"
"TATACOFFEE","Tata Coffee Limited","EQ","Rights-1 Pcd:2 Eq @Rs.400","1","19-Oct-2006","30-Oct-2006","-","-"
"TTML","Tata Teleservices (Maharashtra) Limited","EQ","Rights-19:100 @ Prem Rs.7","10","19-Oct-2006","28-Oct-2006","-","-"
"BAJFINANCE","Bajaj Finance Limited","EQ","Right-Eq6:10 & 1ncd:4eq","1","13-Nov-2006","20-Nov-2006","-","-"
"LAKSHVILAS","Lakshmi Vilas Bank Limited","EQ","Bonus 1:2/Rights 1:1","10","17-Nov-2006","24-Nov-2006","-","-"
"DIGJAM","Digjam Limited","EQ","Rights 4:7 At Par","10","21-Nov-2006","28-Nov-2006","-","-"
"ABIRLANUVO","Aditya Birla Nuvo Limited","EQ","Rights 2:17@Prem Rs.783/-","10","01-Dec-2006","08-Dec-2006","-","-"
"KARURVYSYA","Karur Vysya Bank Limited","EQ","Rights 1:2@Prem Rs.60/-","2","13-Dec-2006","20-Dec-2006","-","-"
"LGBROS","LG Balakrishnan & Bros Limited","EQ","Right-1 Bond:9eqsh@Rs.101","1","22-Jan-2007","31-Jan-2007","-","-"
"ORIENTPPR","Orient Paper & Industries Limited","EQ","Div-60% / Rights-Eq 3:10 Purpose Revised","1","08-Jun-2007","15-Jun-2007","-","-"
"GTLINFRA","GTL Infrastructure Limited","EQ","Rights 1:1 At Par","10","20-Jul-2007","27-Jul-2007","-","-"
"CHOLAFIN","Cholamandalam Investment and Finance Company Limited","EQ","Rights Equity/Warrant","2","11-Sep-2007","18-Sep-2007","-","-"
"DICIND","DIC India Limited","EQ","Rights-Eq 1:3@ Prem Rs215","10","19-Oct-2007","26-Oct-2007","-","-"
"TATASTEEL","Tata Steel Limited","EQ","Right-Eq1:5 & 9ccps:10eq","1","29-Oct-2007","05-Nov-2007","-","-"
"CEMPRO","Cemindia Projects Limited","EQ","Rights-Eq 1:1@Prem Rs.415","1","30-Oct-2007","06-Nov-2007","-","-"
"HINDOILEXP","Hindustan Oil Exploration Company Limited","EQ","Rights-Eq 2:3@ Prem Rs107","10","15-Nov-2007","-","22-Nov-2007","03-Dec-2007"
"FEDERALBNK","The Federal Bank  Limited","EQ","Rights-Eq 1:1@Prem Rs.240","2","19-Nov-2007","26-Nov-2007","-","-"
"EXIDEIND","Exide Industries Limited","EQ","Rights-Eq 1:15@Prem Rs.29","1","10-Dec-2007","17-Dec-2007","-","-"
"NANDAN","Nandan Exim Limited","EQ","Rights-Eq 1:2@Prem Rs.2","1","12-Dec-2007","19-Dec-2007","-","-"
"DHANBANK","Dhanlaxmi Bank Limited","EQ","Rights-Eq 1:1@Prem Rs 52","10","23-Jan-2008","30-Jan-2008","-","-"
"SBIN","State Bank of India","EQ","Rights-Eq 1:5@Prem Rs1580","1","28-Jan-2008","04-Feb-2008","-","-"
"NETWORK18","Network18 Media & Investments Limited","EQ","Rights - 1pccps:5eq","5","11-Mar-2008","18-Mar-2008","-","-"
"GODREJCP","Godrej Consumer Products Limited","EQ","Rights-Eq 1:7@Prem Rs122","1","12-Mar-2008","19-Mar-2008","-","-"
"ENTEGRA","Entegra Limited","EQ","Rights Eq 1:1@Prem Rs 15","10","26-Jun-2008","04-Jul-2008","-","-"
"JKTYRE","JK Tyre & Industries Limited","EQ","Rights-Eq 1:3@Prem Rs 75","2","07-Jul-2008","14-Jul-2008","-","-"
"TMPV","Tata Motors Passenger Vehicles Limited","EQ","Rights Eq 1:6/Dif Vot 1:6","2","09-Sep-2008","16-Sep-2008","-","-"
"DISHTV","Dish TV India Limited","EQ","Rights-121:100 Prem@Rs.21","1","08-Oct-2008","16-Oct-2008","-","-"
"FMGOETZE","Federal-Mogul Goetze (India) Limited.","EQ","Rights 71:100 Prem@Rs.46","10","03-Nov-2008","10-Nov-2008","-","-"
"IMPEXFERRO","Impex Ferro Tech Limited","EQ","Agm/Rights 1:1 Prem@Rs.6 Purpose Revised","10","17-Sep-2009","-","19-Sep-2009","24-Sep-2009"
"TV-18","Television Eighteen India Limited","EQ","Rights 1:2 Prem@Rs.79/-","5","18-Sep-2009","22-Sep-2009","-","-"
"LAKSHVILAS","Lakshmi Vilas Bank Limited","EQ","Rights 1:1 Prem@Rs.44/-","10","24-Sep-2009","25-Sep-2009","-","-"
